CustomerID,r_score,f_score,m_score,rfm_code,customer_segment
15224,5,4,1,541,"Loyal Customers"
15823,1,1,1,111,"Lost Customers"
17816,5,4,1,541,"Loyal Customers"
18225,5,4,1,541,"Loyal Customers"
17026,2,2,1,221,"Lost Customers"
14576,1,1,1,111,"Lost Customers"
14865,1,1,1,111,"Lost Customers"
12855,1,1,1,111,"Lost Customers"
14589,2,2,1,221,"Lost Customers"
14821,4,3,1,431,"Loyal Customers"
16638,3,2,1,321,"Lost Customers"
13011,1,1,1,111,"Lost Customers"
15899,3,2,1,321,"Lost Customers"
12494,4,4,1,441,"Loyal Customers"
17339,5,4,1,541,"Loyal Customers"
14437,4,4,1,441,"Loyal Customers"
16306,3,3,1,331,"Loyal Customers"
17460,1,5,1,151,"At Risk"
17572,1,1,1,111,"Lost Customers"
18113,3,3,1,331,"Loyal Customers"
12600,2,2,1,221,"Lost Customers"
13747,1,1,1,111,"Lost Customers"
16835,1,1,1,111,"Lost Customers"
15180,3,3,1,331,"Loyal Customers"
12686,2,2,1,221,"Lost Customers"
15769,2,2,1,221,"Lost Customers"
15602,3,2,1,321,"Lost Customers"
13230,4,4,1,441,"Loyal Customers"
16552,1,1,1,111,"Lost Customers"
13880,3,3,1,331,"Loyal Customers"
14898,2,2,1,221,"Lost Customers"
15048,3,2,1,321,"Lost Customers"
13491,1,1,1,111,"Lost Customers"
17802,2,1,1,211,"Lost Customers"
17643,1,1,1,111,"Lost Customers"
17720,3,3,1,331,"Loyal Customers"
14448,5,4,1,541,"Loyal Customers"
15860,3,2,1,321,"Lost Customers"
18011,1,1,1,111,"Lost Customers"
14866,4,3,1,431,"Loyal Customers"
16519,5,4,1,541,"Loyal Customers"
17912,5,5,1,551,"Loyal Customers"
16122,4,3,1,431,"Loyal Customers"
15070,1,1,1,111,"Lost Customers"
13787,5,4,1,541,"Loyal Customers"
17894,4,3,1,431,"Loyal Customers"
16010,5,4,1,541,"Loyal Customers"
14396,2,2,1,221,"Lost Customers"
17917,5,4,1,541,"Loyal Customers"
15081,3,3,1,331,"Loyal Customers"
15018,3,3,1,331,"Loyal Customers"
15271,4,4,1,441,"Loyal Customers"
14037,5,4,1,541,"Loyal Customers"
13807,3,3,1,331,"Loyal Customers"
17430,5,4,1,541,"Loyal Customers"
15867,2,2,1,221,"Lost Customers"
15987,3,2,1,321,"Lost Customers"
15881,5,4,1,541,"Loyal Customers"
17796,2,2,1,221,"Lost Customers"
15350,1,1,1,111,"Lost Customers"
15107,1,1,1,111,"Lost Customers"
16898,3,2,1,321,"Lost Customers"
16928,1,1,1,111,"Lost Customers"
16059,3,3,1,331,"Loyal Customers"
14217,4,3,1,431,"Loyal Customers"
13569,3,3,1,331,"Loyal Customers"
17576,5,4,1,541,"Loyal Customers"
16596,4,3,1,431,"Loyal Customers"
16725,2,2,1,221,"Lost Customers"
15984,3,2,1,321,"Lost Customers"
14413,5,4,1,541,"Loyal Customers"
17967,2,2,1,221,"Lost Customers"
15304,3,2,1,321,"Lost Customers"
16658,3,2,1,321,"Lost Customers"
14419,5,4,1,541,"Loyal Customers"
16140,2,2,1,221,"Lost Customers"
14487,3,2,1,321,"Lost Customers"
17236,5,4,1,541,"Loyal Customers"
15038,2,2,1,221,"Lost Customers"
17324,4,3,1,431,"Loyal Customers"
15923,1,1,1,111,"Lost Customers"
14491,1,1,1,111,"Lost Customers"
17961,2,1,1,211,"Lost Customers"
16883,2,2,1,221,"Lost Customers"
17954,3,5,1,351,"Loyal Customers"
17790,5,5,1,551,"Loyal Customers"
12808,2,2,1,221,"Lost Customers"
16679,4,3,1,431,"Loyal Customers"
16770,1,1,1,111,"Lost Customers"
17420,1,1,1,111,"Lost Customers"
16411,2,2,1,221,"Lost Customers"
12793,2,2,1,221,"Lost Customers"
14404,2,2,1,221,"Lost Customers"
15545,2,2,1,221,"Lost Customers"
16665,5,4,1,541,"Loyal Customers"
13305,1,1,1,111,"Lost Customers"
14078,1,1,1,111,"Lost Customers"
15732,1,1,1,111,"Lost Customers"
18116,5,4,1,541,"Loyal Customers"
16365,3,3,1,331,"Loyal Customers"
15079,4,4,1,441,"Loyal Customers"
17227,3,3,1,331,"Loyal Customers"
17691,3,3,1,331,"Loyal Customers"
16893,4,3,1,431,"Loyal Customers"
17346,1,1,1,111,"Lost Customers"
15503,5,4,1,541,"Loyal Customers"
16233,4,3,1,431,"Loyal Customers"
16385,4,3,1,431,"Loyal Customers"
15356,3,2,1,321,"Lost Customers"
13963,3,3,1,331,"Loyal Customers"
17076,5,4,1,541,"Loyal Customers"
16931,2,2,1,221,"Lost Customers"
13497,2,2,1,221,"Lost Customers"
13984,4,3,1,431,"Loyal Customers"
12826,4,4,1,441,"Loyal Customers"
12738,1,1,1,111,"Lost Customers"
14813,2,5,1,251,"At Risk"
17181,1,1,1,111,"Lost Customers"
16033,2,2,1,221,"Lost Customers"
15965,3,3,1,331,"Loyal Customers"
18016,5,4,1,541,"Loyal Customers"
15894,2,2,1,221,"Lost Customers"
17965,5,5,1,551,"Loyal Customers"
16081,4,3,1,431,"Loyal Customers"
12481,4,4,1,441,"Loyal Customers"
13140,3,3,1,331,"Loyal Customers"
14176,3,3,1,331,"Loyal Customers"
17025,1,4,1,141,"At Risk"
14237,1,1,2,112,"Lost Customers"
14987,4,4,2,442,"Loyal Customers"
16983,2,2,2,222,"Lost Customers"
16161,3,2,2,322,"Lost Customers"
16863,4,3,2,432,"Loyal Customers"
13579,2,2,2,222,"Lost Customers"
16634,1,1,2,112,"Lost Customers"
18144,1,1,2,112,"Lost Customers"
15235,2,5,2,252,"At Risk"
15288,4,4,2,442,"Loyal Customers"
13034,2,2,2,222,"Lost Customers"
13173,3,3,2,332,"Loyal Customers"
14215,2,2,2,222,"Lost Customers"
17068,3,3,2,332,"Loyal Customers"
16221,3,3,2,332,"Loyal Customers"
14684,5,4,2,542,"Loyal Customers"
18269,4,4,2,442,"Loyal Customers"
18004,5,4,2,542,"Loyal Customers"
16203,1,1,2,112,"Lost Customers"
16367,5,4,2,542,"Loyal Customers"
15713,4,3,2,432,"Loyal Customers"
16950,3,3,2,332,"Loyal Customers"
17760,1,1,2,112,"Lost Customers"
17372,5,4,2,542,"Loyal Customers"
12441,3,3,2,332,"Loyal Customers"
16565,5,4,2,542,"Loyal Customers"
14355,4,4,2,442,"Loyal Customers"
14479,4,4,2,442,"Loyal Customers"
17097,5,4,2,542,"Loyal Customers"
17696,5,5,2,552,"Loyal Customers"
16086,3,3,2,332,"Loyal Customers"
13668,5,4,2,542,"Loyal Customers"
17470,3,3,2,332,"Loyal Customers"
15454,5,4,2,542,"Loyal Customers"
14766,4,3,2,432,"Loyal Customers"
14810,2,2,2,222,"Lost Customers"
15945,5,4,2,542,"Loyal Customers"
18119,3,3,2,332,"Loyal Customers"
16907,5,4,2,542,"Loyal Customers"
14082,5,4,2,542,"Loyal Customers"
14825,3,2,2,322,"Lost Customers"
14741,1,1,2,112,"Lost Customers"
15028,3,2,2,322,"Lost Customers"
16955,3,5,2,352,"Loyal Customers"
14236,1,1,2,112,"Lost Customers"
15646,1,1,2,112,"Lost Customers"
17999,4,3,2,432,"Loyal Customers"
15827,1,4,2,142,"At Risk"
15012,1,1,2,112,"Lost Customers"
12791,1,1,2,112,"Lost Customers"
14159,5,4,2,542,"Loyal Customers"
13138,1,1,2,112,"Lost Customers"
15605,1,1,2,112,"Lost Customers"
12708,2,2,2,222,"Lost Customers"
17412,1,1,2,112,"Lost Customers"
13649,4,3,2,432,"Loyal Customers"
16916,1,1,2,112,"Lost Customers"
16919,3,2,2,322,"Lost Customers"
12915,1,1,2,112,"Lost Customers"
15347,4,3,2,432,"Loyal Customers"
17905,1,1,2,112,"Lost Customers"
14180,1,1,2,112,"Lost Customers"
13000,5,4,2,542,"Loyal Customers"
12989,5,4,2,542,"Loyal Customers"
15723,5,4,2,542,"Loyal Customers"
12868,1,1,2,112,"Lost Customers"
13748,1,1,2,112,"Lost Customers"
16353,2,2,2,222,"Lost Customers"
18077,4,4,2,442,"Loyal Customers"
15021,4,3,2,432,"Loyal Customers"
13065,1,1,2,112,"Lost Customers"
18156,2,2,2,222,"Lost Customers"
16752,1,1,2,112,"Lost Customers"
17855,2,1,2,212,"Lost Customers"
15660,4,4,2,442,"Loyal Customers"
15044,5,4,2,542,"Loyal Customers"
15953,2,2,2,222,"Lost Customers"
18219,3,3,2,332,"Loyal Customers"
14449,1,1,2,112,"Lost Customers"
16402,2,2,2,222,"Lost Customers"
17126,5,4,2,542,"Loyal Customers"
14243,4,4,2,442,"Loyal Customers"
17869,3,3,2,332,"Loyal Customers"
13959,5,4,2,542,"Loyal Customers"
17873,1,1,2,112,"Lost Customers"
17135,2,2,2,222,"Lost Customers"
17812,3,3,2,332,"Loyal Customers"
16499,5,4,2,542,"Loyal Customers"
16019,5,4,2,542,"Loyal Customers"
15005,4,3,2,432,"Loyal Customers"
17287,3,5,2,352,"Loyal Customers"
13126,3,5,2,352,"Loyal Customers"
13094,2,2,2,222,"Lost Customers"
14390,1,1,2,112,"Lost Customers"
13240,4,4,2,442,"Loyal Customers"
14744,4,3,2,432,"Loyal Customers"
16477,2,2,2,222,"Lost Customers"
13255,1,1,2,112,"Lost Customers"
16250,1,1,2,112,"Lost Customers"
17526,5,4,2,542,"Loyal Customers"
16654,3,2,2,322,"Lost Customers"
15380,4,4,2,442,"Loyal Customers"
16926,2,2,2,222,"Lost Customers"
13786,3,3,2,332,"Loyal Customers"
16775,3,3,2,332,"Loyal Customers"
16891,2,2,2,222,"Lost Customers"
15916,4,5,2,452,"Loyal Customers"
16583,1,1,2,112,"Lost Customers"
14829,1,1,2,112,"Lost Customers"
13838,2,2,2,222,"Lost Customers"
17908,1,1,2,112,"Lost Customers"
17925,2,1,2,212,"Lost Customers"
16817,3,2,2,322,"Lost Customers"
16062,5,4,2,542,"Loyal Customers"
17659,2,1,2,212,"Lost Customers"
16510,1,1,2,112,"Lost Customers"
12779,2,2,2,222,"Lost Customers"
17456,5,4,2,542,"Loyal Customers"
14723,2,5,2,252,"At Risk"
17646,5,4,2,542,"Loyal Customers"
17858,2,2,2,222,"Lost Customers"
17860,3,3,2,332,"Loyal Customers"
12797,4,4,2,442,"Loyal Customers"
16905,2,2,2,222,"Lost Customers"
14543,5,4,2,542,"Loyal Customers"
14594,1,1,2,112,"Lost Customers"
16048,1,4,2,142,"At Risk"
14896,4,4,2,442,"Loyal Customers"
12942,4,4,3,443,"Loyal Customers"
12386,3,3,3,333,"Loyal Customers"
18071,5,4,3,543,"Loyal Customers"
15752,1,1,3,113,"Lost Customers"
12662,1,1,3,113,"Lost Customers"
17964,2,1,3,213,"Lost Customers"
17950,5,5,3,553,"Loyal Customers"
15996,4,3,3,433,"Loyal Customers"
18168,2,2,3,223,"Lost Customers"
12971,3,5,3,353,"Loyal Customers"
17262,4,3,3,433,"Loyal Customers"
14506,2,2,3,223,"Lost Customers"
15919,3,2,3,323,"Lost Customers"
15581,4,3,3,433,"Loyal Customers"
16727,5,4,3,543,"Loyal Customers"
16814,2,2,3,223,"Lost Customers"
15351,2,2,3,223,"Lost Customers"
16168,2,2,3,223,"Lost Customers"
17069,1,1,3,113,"Lost Customers"
17968,1,1,3,113,"Lost Customers"
16241,2,2,3,223,"Lost Customers"
17924,1,1,3,113,"Lost Customers"
14161,2,2,3,223,"Lost Customers"
17251,5,4,3,543,"Loyal Customers"
14047,1,1,3,113,"Lost Customers"
15111,1,1,3,113,"Lost Customers"
16125,3,3,3,333,"Loyal Customers"
15811,5,4,3,543,"Loyal Customers"
16393,5,5,3,553,"Loyal Customers"
17223,3,3,3,333,"Loyal Customers"
17091,3,3,3,333,"Loyal Customers"
12875,5,4,3,543,"Loyal Customers"
17062,5,5,3,553,"Loyal Customers"
14696,1,1,3,113,"Lost Customers"
13145,1,1,3,113,"Lost Customers"
17951,1,1,3,113,"Lost Customers"
15889,2,2,3,223,"Lost Customers"
17552,2,5,3,253,"At Risk"
14713,4,4,3,443,"Loyal Customers"
16546,1,1,3,113,"Lost Customers"
17530,5,4,3,543,"Loyal Customers"
18178,5,4,3,543,"Loyal Customers"
17674,3,3,3,333,"Loyal Customers"
17676,4,3,3,433,"Loyal Customers"
17978,5,4,3,543,"Loyal Customers"
13506,2,2,3,223,"Lost Customers"
14001,1,1,3,113,"Lost Customers"
13520,2,2,3,223,"Lost Customers"
14443,2,2,3,223,"Lost Customers"
12427,2,2,3,223,"Lost Customers"
14032,4,3,3,433,"Loyal Customers"
18085,1,1,3,113,"Lost Customers"
17732,2,1,3,213,"Lost Customers"
12947,1,1,3,113,"Lost Customers"
13329,4,3,3,433,"Loyal Customers"
14496,1,1,3,113,"Lost Customers"
14210,2,2,3,223,"Lost Customers"
13531,4,3,3,433,"Loyal Customers"
15658,1,1,3,113,"Lost Customers"
16717,4,3,3,433,"Loyal Customers"
16186,1,1,3,113,"Lost Customers"
15973,4,3,3,433,"Loyal Customers"
14085,2,2,3,223,"Lost Customers"
13402,1,1,3,113,"Lost Customers"
13369,4,4,3,443,"Loyal Customers"
14395,1,1,3,113,"Lost Customers"
13652,2,2,3,223,"Lost Customers"
13854,4,4,3,443,"Loyal Customers"
13148,5,4,3,543,"Loyal Customers"
14083,2,2,3,223,"Lost Customers"
13842,4,3,3,433,"Loyal Customers"
14189,2,2,3,223,"Lost Customers"
16781,1,1,3,113,"Lost Customers"
15353,3,3,3,333,"Loyal Customers"
14142,1,1,3,113,"Lost Customers"
12785,5,4,3,543,"Loyal Customers"
14388,1,1,3,113,"Lost Customers"
17213,4,3,3,433,"Loyal Customers"
14729,1,1,3,113,"Lost Customers"
13077,3,3,3,333,"Loyal Customers"
15525,1,1,3,113,"Lost Customers"
17975,4,3,3,433,"Loyal Customers"
15192,4,4,3,443,"Loyal Customers"
18043,4,3,3,433,"Loyal Customers"
13102,4,4,3,443,"Loyal Customers"
17220,5,4,3,543,"Loyal Customers"
13969,4,4,3,443,"Loyal Customers"
13705,1,1,3,113,"Lost Customers"
14702,4,4,3,443,"Loyal Customers"
15628,4,3,3,433,"Loyal Customers"
13848,4,3,3,433,"Loyal Customers"
12763,2,2,3,223,"Lost Customers"
15529,5,5,3,553,"Loyal Customers"
14156,2,2,3,223,"Lost Customers"
13769,3,3,3,333,"Loyal Customers"
17884,3,5,3,353,"Loyal Customers"
16520,5,4,3,543,"Loyal Customers"
15363,1,1,3,113,"Lost Customers"
14045,1,1,3,113,"Lost Customers"
17616,3,3,3,333,"Loyal Customers"
17870,4,3,3,433,"Loyal Customers"
17491,3,3,3,333,"Loyal Customers"
13050,3,3,3,333,"Loyal Customers"
13267,3,3,3,333,"Loyal Customers"
15291,1,1,3,113,"Lost Customers"
14409,2,5,3,253,"At Risk"
13983,4,3,3,433,"Loyal Customers"
15738,1,1,3,113,"Lost Customers"
13069,2,5,3,253,"At Risk"
15640,1,1,3,113,"Lost Customers"
15373,2,2,3,223,"Lost Customers"
17519,3,3,3,333,"Loyal Customers"
16700,4,3,3,433,"Loyal Customers"
16904,3,5,3,353,"Loyal Customers"
15750,4,5,3,453,"Loyal Customers"
14344,3,5,3,353,"Loyal Customers"
17235,1,1,3,113,"Lost Customers"
15880,2,2,3,223,"Lost Customers"
18065,5,5,3,553,"Loyal Customers"
12395,2,2,3,223,"Lost Customers"
14577,5,4,3,543,"Loyal Customers"
13576,1,1,3,113,"Lost Customers"
13108,1,1,3,113,"Lost Customers"
15708,2,2,3,223,"Lost Customers"
13269,2,2,3,223,"Lost Customers"
13599,4,5,3,453,"Loyal Customers"
17428,3,3,3,333,"Loyal Customers"
17976,2,2,3,223,"Lost Customers"
15862,1,1,4,114,"Lost Customers"
15544,1,1,4,114,"Lost Customers"
16143,2,2,4,224,"Lost Customers"
14849,1,5,4,154,"At Risk"
17228,3,5,4,354,"Loyal Customers"
16274,1,1,4,114,"Lost Customers"
12431,1,1,4,114,"Lost Customers"
12747,2,2,4,224,"Lost Customers"
17019,3,2,4,324,"Lost Customers"
14901,4,5,4,454,Champions
14107,5,4,4,544,Champions
14932,4,4,4,444,Champions
14293,2,2,4,224,"Lost Customers"
12963,4,4,4,444,Champions
13047,1,5,4,154,"At Risk"
15922,1,1,4,114,"Lost Customers"
17238,2,5,4,254,"At Risk"
15805,5,4,4,544,Champions
15882,3,5,4,354,"Loyal Customers"
16782,5,4,4,544,Champions
16065,5,4,4,544,Champions
13113,3,3,4,334,"Loyal Customers"
14673,3,3,4,334,"Loyal Customers"
16255,5,4,4,544,Champions
17419,3,5,4,354,"Loyal Customers"
16710,3,2,4,324,"Lost Customers"
15574,1,1,4,114,"Lost Customers"
16858,3,2,4,324,"Lost Customers"
18259,4,4,4,444,Champions
12872,4,4,4,444,Champions
16293,3,3,4,334,"Loyal Customers"
13155,2,2,4,224,"Lost Customers"
14466,1,1,4,114,"Lost Customers"
16455,2,5,4,254,"At Risk"
17259,3,3,4,334,"Loyal Customers"
16016,4,3,4,434,"Loyal Customers"
15211,4,4,4,444,Champions
15858,3,3,4,334,"Loyal Customers"
17863,2,2,4,224,"Lost Customers"
13117,4,5,4,454,Champions
12838,1,1,4,114,"Lost Customers"
17682,3,3,4,334,"Loyal Customers"
17596,3,3,4,334,"Loyal Customers"
16150,1,1,4,114,"Lost Customers"
17671,5,4,4,544,Champions
17396,2,2,4,224,"Lost Customers"
15298,4,3,4,434,"Loyal Customers"
15596,4,4,4,444,Champions
12839,3,3,4,334,"Loyal Customers"
15221,4,3,4,434,"Loyal Customers"
18061,4,4,4,444,Champions
16011,5,5,4,554,Champions
15194,3,2,4,324,"Lost Customers"
14775,1,1,4,114,"Lost Customers"
17591,3,3,4,334,"Loyal Customers"
13831,2,2,4,224,"Lost Customers"
15426,2,2,4,224,"Lost Customers"
16525,4,3,4,434,"Loyal Customers"
14573,1,1,4,114,"Lost Customers"
16713,4,3,4,434,"Loyal Customers"
16795,5,4,4,544,Champions
12913,2,2,4,224,"Lost Customers"
14708,3,2,4,324,"Lost Customers"
15260,1,4,4,144,"At Risk"
14081,2,2,4,224,"Lost Customers"
13030,2,2,4,224,"Lost Customers"
12725,2,2,4,224,"Lost Customers"
13982,4,4,4,444,Champions
16656,5,4,4,544,Champions
14299,4,4,4,444,Champions
16098,1,1,4,114,"Lost Customers"
16719,3,2,4,324,"Lost Customers"
17897,3,5,4,354,"Loyal Customers"
18239,2,2,4,224,"Lost Customers"
16163,5,4,4,544,Champions
16539,1,1,4,114,"Lost Customers"
14688,1,1,4,114,"Lost Customers"
17757,5,5,4,554,Champions
17320,3,3,4,334,"Loyal Customers"
17685,2,1,4,214,"Lost Customers"
17085,5,4,4,544,Champions
17735,3,3,4,334,"Loyal Customers"
17880,5,4,4,544,Champions
17402,2,5,4,254,"At Risk"
15023,2,2,4,224,"Lost Customers"
12621,4,4,4,444,Champions
13199,3,3,4,334,"Loyal Customers"
14748,3,5,4,354,"Loyal Customers"
12712,4,5,4,454,Champions
16218,1,1,4,114,"Lost Customers"
12720,2,2,4,224,"Lost Customers"
15078,3,5,4,354,"Loyal Customers"
17706,4,5,4,454,Champions
15680,4,3,4,434,"Loyal Customers"
15165,1,1,4,114,"Lost Customers"
18074,1,1,4,114,"Lost Customers"
15024,3,5,4,354,"Loyal Customers"
13715,5,5,4,554,Champions
12841,2,5,4,254,"At Risk"
17218,5,5,4,554,Champions
15649,3,3,4,334,"Loyal Customers"
17191,3,5,4,354,"Loyal Customers"
13495,2,2,4,224,"Lost Customers"
17341,4,3,4,434,"Loyal Customers"
17188,5,4,4,544,Champions
13078,3,3,4,334,"Loyal Customers"
14527,4,5,4,454,Champions
17567,2,1,4,214,"Lost Customers"
17198,5,5,4,554,Champions
15898,3,5,4,354,"Loyal Customers"
12709,3,3,4,334,"Loyal Customers"
14256,5,4,4,544,Champions
13756,3,3,4,334,"Loyal Customers"
16327,2,2,4,224,"Lost Customers"
15465,2,2,4,224,"Lost Customers"
13564,2,2,4,224,"Lost Customers"
15716,2,2,4,224,"Lost Customers"
16923,5,4,4,544,Champions
16839,2,2,4,224,"Lost Customers"
18109,5,5,4,554,Champions
16550,3,2,4,324,"Lost Customers"
13523,4,3,4,434,"Loyal Customers"
16558,4,3,4,434,"Loyal Customers"
14282,3,3,4,334,"Loyal Customers"
15955,1,1,4,114,"Lost Customers"
13468,2,5,4,254,"At Risk"
17377,5,5,4,554,Champions
13270,4,3,4,434,"Loyal Customers"
17243,5,5,5,555,Champions
17211,5,5,5,555,Champions
14606,4,5,5,455,Champions
18118,5,5,5,555,Champions
15039,3,2,5,325,"Lost Customers"
14907,3,3,5,335,"Loyal Customers"
12557,2,2,5,225,"Lost Customers"
14060,4,5,5,455,Champions
14051,4,3,5,435,"Loyal Customers"
15093,1,1,5,115,"Lost Customers"
16718,2,2,5,225,"Lost Customers"
15358,4,5,5,455,Champions
15002,3,3,5,335,"Loyal Customers"
18041,5,5,5,555,Champions
18229,4,5,5,455,Champions
14440,4,4,5,445,Champions
14796,4,3,5,435,"Loyal Customers"
15301,3,2,5,325,"Lost Customers"
17655,4,3,5,435,"Loyal Customers"
14030,4,5,5,455,Champions
14952,5,4,5,545,Champions
12921,3,5,5,355,"Loyal Customers"
16779,5,5,5,555,Champions
17690,5,5,5,555,Champions
13455,4,3,5,435,"Loyal Customers"
15100,4,5,5,455,Champions
17406,4,3,5,435,"Loyal Customers"
12347,3,3,5,335,"Loyal Customers"
14739,3,3,5,335,"Loyal Customers"
13758,4,5,5,455,Champions
17059,2,2,5,225,"Lost Customers"
17920,3,5,5,355,"Loyal Customers"
17787,2,2,5,225,"Lost Customers"
13327,4,5,5,455,Champions
13370,2,2,5,225,"Lost Customers"
17865,5,4,5,545,Champions
13319,4,5,5,455,Champions
15547,5,4,5,545,Champions
15601,1,1,5,115,"Lost Customers"
14307,1,1,5,115,"Lost Customers"
17581,2,5,5,255,"At Risk"
16456,1,1,5,115,"Lost Customers"
13093,1,1,5,115,"Lost Customers"
16722,4,5,5,455,Champions
14135,3,5,5,355,"Loyal Customers"
15555,4,5,5,455,Champions
15983,5,5,5,555,Champions
13448,5,5,5,555,Champions
15694,4,5,5,455,Champions
16265,5,5,5,555,Champions
13694,1,1,5,115,"Lost Customers"
12583,1,1,5,115,"Lost Customers"
15998,5,4,5,545,Champions
15570,5,5,5,555,Champions
17722,4,3,5,435,"Loyal Customers"
15502,3,5,5,355,"Loyal Customers"
17838,5,5,5,555,Champions
15485,1,1,5,115,"Lost Customers"
15838,3,3,5,335,"Loyal Customers"
14062,5,4,5,545,Champions
12647,3,5,5,355,"Loyal Customers"
15498,4,5,5,455,Champions
17819,5,5,5,555,Champions
13418,5,5,5,555,Champions
18055,3,5,5,355,"Loyal Customers"
13090,4,5,5,455,Champions
17675,5,5,5,555,Champions
15808,2,2,5,225,"Lost Customers"
12681,3,3,5,335,"Loyal Customers"
16244,1,1,5,115,"Lost Customers"
16013,2,5,5,255,"At Risk"
12683,4,5,5,455,Champions
12731,5,4,5,545,Champions
12682,4,5,5,455,Champions
13941,1,1,5,115,"Lost Customers"
12766,3,3,5,335,"Loyal Customers"
14800,5,5,5,555,Champions
17809,2,5,5,255,"At Risk"
17827,5,5,5,555,Champions
12429,4,4,5,445,Champions
15513,4,5,5,455,Champions
17949,2,2,5,225,"Lost Customers"
17857,5,4,5,545,Champions
12967,2,2,5,225,"Lost Customers"
13488,3,3,5,335,"Loyal Customers"
13174,2,2,5,225,"Lost Customers"
18092,5,4,5,545,Champions
13013,2,5,5,255,"At Risk"
17017,5,5,5,555,Champions
17841,5,5,5,555,Champions
13408,2,5,5,255,"At Risk"
15856,5,4,5,545,Champions
15514,5,5,5,555,Champions
17677,4,5,5,455,Champions
15311,4,5,5,455,Champions
12472,2,2,5,225,"Lost Customers"
15332,4,5,5,455,Champions
16422,2,2,5,225,"Lost Customers"
14680,2,2,5,225,"Lost Customers"
14667,5,5,5,555,Champions
13767,5,5,5,555,Champions
14733,3,3,5,335,"Loyal Customers"
15299,1,5,5,155,"At Risk"
14031,4,5,5,455,Champions
12567,3,5,5,355,"Loyal Customers"
16754,1,1,5,115,"Lost Customers"
17450,3,5,5,355,"Loyal Customers"
16873,5,4,5,545,Champions
12471,5,5,5,555,Champions
13081,2,5,5,255,"At Risk"
17340,4,3,5,435,"Loyal Customers"
15032,4,5,5,455,Champions
13089,2,5,5,255,"At Risk"
12748,5,5,5,555,Champions
17511,3,5,5,355,"Loyal Customers"
12753,5,4,5,545,Champions
17381,3,5,5,355,"Loyal Customers"
12433,3,5,5,355,"Loyal Customers"
12755,4,4,5,445,Champions
13798,5,5,5,555,Champions
16029,1,5,5,155,"At Risk"
16210,3,5,5,355,"Loyal Customers"
17850,2,5,5,255,"At Risk"
14911,5,5,5,555,Champions
13777,4,5,5,455,Champions
15061,5,5,5,555,Champions
18102,5,5,5,555,Champions
